threshold,total_cost,cost_per_loan,approved,declined,tp,fp,tn,fn,precision,recall,f1
0.067519454856249,30821017.928797677,1312.9853424553837,4832,18642,2927,15715,4613,219,0.15701105031648965,0.9303877940241576,0.2686800073434918
0.06850279444648673,30663161.721160527,1306.260616902127,4950,18524,2919,15605,4723,227,0.1575793565104729,0.9278448823903369,0.26940470696815877
0.06935994562611456,30531027.15840063,1300.631641748344,5067,18407,2908,15499,4829,238,0.1579833758896072,0.9243483788938335,0.2698464250916346
0.07035477003143097,30357274.277349785,1293.229712760918,5185,18289,2902,15387,4941,244,0.15867461315544862,0.9224411951684679,0.27077210170282245
0.07126430165228662,30239159.753246866,1288.1979957930846,5303,18171,2889,15282,5046,257,0.1589895988112927,0.9183089637635092,0.27105127363137405
0.07220824843341465,30073355.208902866,1281.134668522743,5421,18053,2882,15171,5157,264,0.15964105688805186,0.916083916083916,0.271899617906505
0.07297056573446041,29979085.694920495,1277.118756706164,5539,17935,2866,15069,5259,280,0.1597992751603011,0.9109980928162746,0.2719036098856791
0.0739421098823547,29821229.487283345,1270.3940311529072,5657,17817,2858,14959,5369,288,0.1604085985294943,0.9084551811824539,0.27267089634117253
0.07480497297241887,29663373.27964619,1263.6693055996502,5775,17699,2850,14849,5479,296,0.16102604666930334,0.9059122695486331,0.2734468697529383
0.07578456558207687,29483548.69664521,1256.0087201433591,5892,17582,2845,14737,5591,301,0.161813218063929,0.9043229497774953,0.2745079120030876
0.07666932346411784,29349537.499128602,1250.2997997413565,6010,17464,2834,14630,5698,312,0.16227668346312413,0.9008264462809917,0.2750121300339641
0.0775411553633971,29223474.638318837,1244.9294810564384,6128,17346,2822,14524,5804,324,0.16268880433529345,0.8970120788302607,0.2754245559242632
0.07831590117581799,29105360.11421592,1239.8977640886053,6246,17228,2809,14419,5909,337,0.163048525655909,0.892879847425302,0.2757435947776578
0.07916235693539411,28971348.916699313,1234.1888436866027,6364,17110,2798,14312,6016,348,0.1635300993571011,0.8893833439287985,0.27626382306477093
0.07993932850111612,28837337.719182704,1228.4799232846,6482,16992,2787,14205,6123,359,0.1640183615819209,0.8858868404322949,0.27679014797894524
0.08080022440146303,28705203.156422805,1222.8509481308172,6599,16875,2776,14099,6229,370,0.1645037037037037,0.8823903369357915,0.2773088257329803
0.08171263119016496,28587088.63231989,1217.8192311629841,6717,16757,2763,13994,6334,383,0.16488631616637822,0.8782581055308328,0.2776465859418178
0.08247185701092813,28461025.771510128,1212.4489124780662,6835,16639,2751,13888,6440,395,0.16533445519562473,0.8744437380801017,0.27808946171341925
0.08339834794469808,28334962.91070037,1207.0785937931487,6953,16521,2739,13782,6546,407,0.16578899582349738,0.8706293706293706,0.27853765190420504
0.08437608301183325,28193003.376476906,1201.031071674061,7071,16403,2729,13674,6654,417,0.16637200512101444,0.8674507310870947,0.2791958667962555
0.08510256317559867,28043095.505546607,1194.644947837889,7189,16285,2720,13565,6763,426,0.1670248695118207,0.8645899554990464,0.2799650043744532
0.08588160093416124,27871219.25925247,1187.3229640986824,7306,16168,2714,13454,6874,432,0.16786244433448788,0.8626827717736809,0.2810396603500052
0.08672325087651829,27745156.398442708,1181.9526454137645,7424,16050,2702,13348,6980,444,0.16834890965732088,0.8588684043229498,0.28151698270473013
0.08758012379698359,27634990.21104664,1177.259530163016,7542,15932,2688,13244,7084,458,0.1687170474516696,0.8544183089637635,0.2817905440821889
0.08856031970407977,27524824.023650575,1172.5664149122679,7660,15814,2674,13140,7188,472,0.16909067914506135,0.8499682136045772,0.28206751054852325
0.0894254511277481,27430554.5096682,1168.550503095689,7778,15696,2658,13038,7290,488,0.16934250764525993,0.8448823903369358,0.28213565438913063
