model,method,fold,roc_auc,pr_auc,brier,log_loss,ece,mean_predicted,threshold,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1,balanced_accuracy,g_mean,mcc
Gradient boosting,ADASYN,3,0.6749320380931372,0.23946007798411767,0.1116580300191028,0.37356634503665354,0.021515354339249327,0.15467611637977702,0.5,26,47,9439,1442,0.8640679203943765,0.3561643835616438,0.017711171662125342,0.995045329959941,0.033744321868916294,0.5063782508110332,0.13275322463321435,0.05341218460344826
Logistic regression,Tomek links,3,0.681631427584951,0.24677791412071026,0.110351528798808,0.36965112698036917,0.009420001638868834,0.1404543027234115,0.5,17,28,9458,1451,0.8649808289209421,0.37777777777777777,0.011580381471389645,0.9970482816782626,0.02247191011235955,0.5043143315748262,0.10745324307450119,0.04595675708015907
Gradient boosting,Tomek links,3,0.6730625829775818,0.24047452571831293,0.11094795455614098,0.3718906812582402,0.013243243016312287,0.14090154726831705,0.5,17,16,9470,1451,0.8660763191528209,0.5151515151515151,0.011580381471389645,0.9983133038161501,0.022651565622918052,0.5049468426437699,0.10752138804049326,0.06149991365687798
Logistic regression,ENN,3,0.6819331773024465,0.2478167176687757,0.11803739852354325,0.3890400308918291,0.06360610439580565,0.1976210760956413,0.5,165,282,9204,1303,0.8553039985393464,0.3691275167785235,0.11239782016348773,0.9702719797596457,0.17232375979112272,0.5413348999615667,0.3302369686917197,0.14235028690747487
Gradient boosting,ENN,3,0.6755309416257199,0.24726306425341213,0.1189147561447179,0.3906278000651554,0.06413413086364368,0.19814910256347937,0.5,166,304,9182,1302,0.8533868906335585,0.35319148936170214,0.11307901907356949,0.9679527725068522,0.17131062951496387,0.5405158957902109,0.33084006713911907,0.13622210716740923
Logistic regression,SMOTE-Tomek,3,0.6784165938503379,0.24584778459566453,0.22466268704310988,0.6394431723628343,0.32482187571478466,0.4588368474146203,0.5,921,3667,5819,547,0.61530034690524,0.20074106364428945,0.6273841961852861,0.6134303183639047,0.30416116248348746,0.6204072572745953,0.6203680256125572,0.16628084609483595
Gradient boosting,SMOTE-Tomek,3,0.6706386035120737,0.23328069643339822,0.11234439957848277,0.3750764909310593,0.02420290809732247,0.15406762668532967,0.5,31,65,9421,1437,0.8628811393098411,0.3229166666666667,0.02111716621253406,0.9931477967531098,0.03964194373401534,0.507132481482822,0.14481873876555967,0.05213924057739695
Logistic regression,SMOTE-ENN,3,0.6788641916583222,0.24653216044028708,0.3631152042359895,1.0042958921247926,0.47705177583053326,0.6110667475303689,0.5,1276,6267,3219,192,0.41035238269125435,0.1691634628132043,0.8692098092643051,0.33934218848829856,0.2832094107202308,0.6042759988763018,0.5431017942625911,0.15342849632584266
Gradient boosting,SMOTE-ENN,3,0.6717269706511417,0.2360091512668263,0.15508231541232775,0.4760140097401939,0.1553156635925211,0.28933063529235675,0.5,499,1460,8026,969,0.7782545188972065,0.25472179683512,0.3399182561307902,0.846088973223698,0.29121680770353076,0.5930036146772442,0.5362845217882857,0.16535472521969027
Logistic regression,None,4,0.6660589303841427,0.23082162314188437,0.11159889444731246,0.374111018585888,0.01292056691345278,0.13396439944763716,0.5,14,23,9463,1454,0.8651634106262552,0.3783783783783784,0.009536784741144414,0.9975753742357157,0.0186046511627907,0.5035560794884301,0.09753800083635404,0.04175933042794735
Gradient boosting,None,4,0.6658665487817698,0.22898682872215653,0.11151612203243268,0.3738736176224503,0.013191306862431116,0.13323107397043515,0.5,9,9,9477,1459,0.8659850283001643,0.5,0.006130790190735695,0.9990512333965844,0.012113055181695828,0.5025910117936601,0.0782622099212013,0.04358514248401307
Logistic regression,Class weight,4,0.6662488704133612,0.2308161253791399,0.22590581284059014,0.643583057439457,0.32548882888565606,0.4595038005854916,0.5,879,3564,5922,589,0.6208690889172905,0.19783929777177583,0.5987738419618529,0.6242884250474383,0.2974116054813061,0.6115311335046456,0.6113980526285383,0.15476355435624053
Gradient boosting,Class weight,4,0.6651730701949409,0.2298534731716704,0.2146371636859138,0.6151582056936596,0.3059798095351467,0.4399947812349825,0.5,848,3317,6169,620,0.6405879130911083,0.2036014405762305,0.5776566757493188,0.6503267973856209,0.3010829043138647,0.6139917365674699,0.6129156678764858,0.15999173432515856
Logistic regression,Random over,4,0.6663628344308923,0.23009353610649802,0.2258464005032711,0.6435324810100994,0.3254649488390189,0.45947992053885456,0.5,879,3564,5922,589,0.6208690889172905,0.19783929777177583,0.5987738419618529,0.6242884250474383,0.2974116054813061,0.6115311335046456,0.6113980526285383,0.15476355435624053
Gradient boosting,Random over,4,0.6562167335657711,0.21950120117592173,0.19315377300634512,0.5660653996875187,0.2592330166262086,0.39324798832604435,0.5,699,2582,6904,769,0.6940843527478546,0.21304480341359341,0.476158038147139,0.727809403331225,0.2943777637397347,0.601983720739182,0.588686926672604,0.15169795348865492
Logistic regression,Random under,4,0.6660127559271343,0.23040911553461194,0.2254882012659969,0.6421733334757824,0.3256588896718034,0.4596738613716391,0.5,888,3599,5887,580,0.6184955267482198,0.19790505905950523,0.6049046321525886,0.6205987771452667,0.2982367758186398,0.6127517046489277,0.6127014566682569,0.15621697898100342
Gradient boosting,Random under,4,0.6607520275110718,0.22231498139913786,0.2277441213001315,0.644467667452439,0.3258611141882943,0.45987608588812984,0.5,906,3712,5774,562,0.6098228957458462,0.19618882633174534,0.6171662125340599,0.6086864853468269,0.29773250082155767,0.6129263489404434,0.6129116843250499,0.1558099980299529
Logistic regression,SMOTE,4,0.6620519497828723,0.22736015597038417,0.2272705990424797,0.6456623669683917,0.32418040581190866,0.45819537751174433,0.5,887,3667,5819,581,0.612196457914917,0.1947738252086078,0.6042234332425068,0.6134303183639047,0.29458651610760545,0.6088268758032058,0.6088094718521407,0.15044724701158674
Gradient boosting,SMOTE,4,0.6559554134272736,0.22289471989568166,0.11395061724980175,0.3804712636046314,0.02765428390823921,0.15525213208202107,0.5,44,81,9405,1424,0.8626072667518715,0.352,0.02997275204359673,0.99146110056926,0.05524168236032643,0.5107169263064284,0.17238566566926017,0.06874729974116073
Logistic regression,ADASYN,4,0.6620609979657387,0.2263736035729348,0.23299978115384942,0.6580869356840569,0.33636342328615815,0.4703783949859938,0.5,929,3898,5588,539,0.5949424867628264,0.1924590843173814,0.6328337874659401,0.589078642209572,0.2951548848292296,0.6109562148377561,0.6105643850281286,0.15227325341901923
Gradient boosting,ADASYN,4,0.6544085332120015,0.21872325911528406,0.11378452692441307,0.38045583344775336,0.025129212247811093,0.1540019711236155,0.5,27,50,9436,1441,0.8638853386890634,0.35064935064935066,0.018392370572207085,0.9947290744254691,0.03495145631067961,0.5065607224988381,0.1352605846349253,0.0535040091138347
Logistic regression,Tomek links,4,0.6659981064882078,0.23078832351482345,0.1118676044885237,0.374730031923982,0.015954031867176414,0.1411751029909714,0.5,28,35,9451,1440,0.8653459923315684,0.4444444444444444,0.01907356948228883,0.9963103520978284,0.036577400391900716,0.5076919607900586,0.1378520755254036,0.06930546657560158
Gradient boosting,Tomek links,4,0.6678438639819703,0.22484281472114293,0.11188552911385859,0.3743178367625248,0.013591721730316763,0.1409062119381996,0.5,12,21,9465,1456,0.8651634106262552,0.36363636363636365,0.008174386920980926,0.997786211258697,0.015989340439706862,0.502980299089839,0.09031218386933296,0.03705153971849187
Logistic regression,ENN,4,0.6660196497807467,0.2299162607706717,0.12124267073740984,0.39778386291257956,0.06449545595950992,0.19851042765934557,0.5,160,327,9159,1308,0.8507394559065181,0.32854209445585214,0.10899182561307902,0.965528146742568,0.1636828644501279,0.5372599861778236,0.3243989448106842,0.12316907513861865
Gradient boosting,ENN,4,0.6652147205605162,0.22350166320795767,0.12199696667923966,0.39774389801869575,0.06510167132772819,0.19906071037437797,0.5,165,420,9066,1303,0.8427058608727406,0.28205128205128205,0.11239782016348773,0.9557242251739405,0.1607403799318071,0.5340610226687141,0.32775191774723333,0.10321573194531798
Logistic regression,SMOTE-Tomek,4,0.6620581255267334,0.22740075213631045,0.22729965135578117,0.645747783884459,0.32415882672841995,0.4581737984282557,0.5,888,3669,5817,580,0.6121051670622604,0.19486504279131006,0.6049046321525886,0.6132194813409234,0.2947717842323651,0.609062056746756,0.6090478674039771,0.15075807296563626
Gradient boosting,SMOTE-Tomek,4,0.651784129314906,0.22283495362444913,0.11411802376299807,0.3813804862280225,0.027878144913724843,0.15478386379676828,0.5,39,70,9416,1429,0.8631550118678109,0.3577981651376147,0.02656675749318801,0.9926207041956567,0.04946100190234623,0.5095937308444224,0.16239062020659792,0.06585580859127535
Logistic regression,SMOTE-ENN,4,0.6628592487652821,0.22654605900265196,0.361127322812736,1.0041782272200601,0.4711403358197272,0.6051553075195628,0.5,1248,6153,3333,220,0.41820339601971884,0.16862586137008512,0.8501362397820164,0.351359898798229,0.28142969895140374,0.6007480692901227,0.5465379979237639,0.146631916178845
Gradient boosting,SMOTE-ENN,4,0.6582665060398775,0.2227559207653872,0.15772620997007938,0.4835498162883237,0.15278399359894065,0.2867989652987763,0.5,465,1464,8022,1003,0.7747854664962571,0.2410575427682737,0.3167574931880109,0.8456672991777356,0.2737709743891669,0.5812123961828732,0.5175629949664245,0.1452670740438827
Logistic regression,None,5,0.6776714831723906,0.25648373980218453,0.10985270127284875,0.36900834786642617,0.005878709038165652,0.13431197918410231,0.5,17,11,9475,1451,0.8665327734161037,0.6071428571428571,0.011580381471389645,0.9988403963736032,0.022727272727272728,0.5052103889224965,0.10754976903294755,0.07030644063229656
